Pond,Toxicity,W0,WF
2,C,3,7.9
2,C,4.1,14.6
2,C,2.6,14.9
2,C,3.2,13.5
2,C,4.6,9.8
2,C,3.1,8.1
2,C,2.5,15.1
7,C,5.3,11.6
7,C,2.9,14.7
7,C,3.2,11.6
7,C,3.4,15.6
7,C,3,15.7
7,C,3.3,11.4
7,C,2.6,11.1
8,C,2.4,7.7
8,C,3.2,11.9
8,C,3.6,13.4
8,C,3.2,13.9
8,C,4.3,16.5
8,C,4.8,16.6
3,10,3.6,7.9
3,10,3.4,8
3,10,2.6,8.2
3,10,2.9,6.7
3,10,4,12
3,10,2.6,5.4
3,10,4.1,9
3,10,4.3,8.1
4,10,3.1,7.1
4,10,2.8,5.7
4,10,4.5,10.9
4,10,2.7,5.8
4,10,3.2,8.6
4,10,2.7,6.5
4,10,2.9,5.3
9,10,3.2,9.2
9,10,3,7.9
9,10,4.6,12
9,10,4.7,14
9,10,2.5,8.6
9,10,2.5,7.5
1,40,3.6,6.9
1,40,4,9.2
1,40,3.3,6.7
1,40,3.1,7.6
1,40,4.3,11.8
1,40,3.7,7.9
1,40,3.2,6.9
5,40,3.7,10.3
5,40,3,8
5,40,2.9,6.5
5,40,3.5,9.8
5,40,3.8,7.2
5,40,3.9,7.9
5,40,2.8,6.2
5,40,2.7,6.3
6,40,3.2,6.5
6,40,2.5,3.8
6,40,3.5,7.7
6,40,2.7,5.6
6,40,2.8,6.2
6,40,2.9,7.1
6,40,2.8,4.6
