farm,method,yield
1,surface,597
2,surface,636
3,surface,591
4,surface,603
5,surface,649
6,surface,512
7,surface,588
8,surface,689
9,surface,690
10,surface,608
1,trickle,248
2,trickle,382
3,trickle,348
4,trickle,366
5,trickle,258
6,trickle,321
7,trickle,423
8,trickle,406
9,trickle,400
10,trickle,380
1,center pivot,391
2,center pivot,434
3,center pivot,492
4,center pivot,468
5,center pivot,457
6,center pivot,406
7,center pivot,466
8,center pivot,502
9,center pivot,559
10,center pivot,469
1,lateral move,423
2,lateral move,461
3,lateral move,504
4,lateral move,580
5,lateral move,449
6,lateral move,464
7,lateral move,550
8,lateral move,526
9,lateral move,469
10,lateral move,550
1,subirrigation,350
2,subirrigation,370
3,subirrigation,460
4,subirrigation,452
5,subirrigation,343
6,subirrigation,340
7,subirrigation,327
8,subirrigation,378
9,subirrigation,419
10,subirrigation,458
