X,Lifetime,Diet
1,35.5,NP
2,35.4,NP
3,34.9,NP
4,34.8,NP
5,33.8,NP
6,33.5,NP
7,32.6,NP
8,32.4,NP
9,31.8,NP
10,31.6,NP
11,31.5,NP
12,31.4,NP
13,31.4,NP
14,31.3,NP
15,30.8,NP
16,30.7,NP
17,30.5,NP
18,30.4,NP
19,30.2,NP
20,30.2,NP
21,30.1,NP
22,30,NP
23,29.6,NP
24,29.3,NP
25,28.9,NP
26,28.3,NP
27,28,NP
28,27.5,NP
29,27.3,NP
30,27.1,NP
31,26.8,NP
32,26.6,NP
33,26.5,NP
34,26.3,NP
35,25.9,NP
36,25.1,NP
37,24.8,NP
38,24.7,NP
39,24.3,NP
40,24.1,NP
41,24,NP
42,22.1,NP
43,21.5,NP
44,21.8,NP
45,20,NP
46,18,NP
47,13.8,NP
48,9.2,NP
49,6.4,NP
50,42.3,N/N85
51,40.1,N/N85
52,39.5,N/N85
53,38.6,N/N85
54,38.4,N/N85
55,38.3,N/N85
56,37.8,N/N85
57,37.6,N/N85
58,37.4,N/N85
59,37.3,N/N85
60,36.8,N/N85
61,36.5,N/N85
62,36.5,N/N85
63,36.5,N/N85
64,36.4,N/N85
65,35.9,N/N85
66,35.5,N/N85
67,35.5,N/N85
68,35.3,N/N85
69,35.3,N/N85
70,34.9,N/N85
71,34.6,N/N85
72,34.5,N/N85
73,34.4,N/N85
74,33.8,N/N85
75,33.5,N/N85
76,33.3,N/N85
77,33.3,N/N85
78,33.1,N/N85
79,33,N/N85
80,32.9,N/N85
81,32.5,N/N85
82,32.4,N/N85
83,32.3,N/N85
84,31.7,N/N85
85,31.7,N/N85
86,31.6,N/N85
87,31.6,N/N85
88,31.5,N/N85
89,33.1,N/N85
90,31.5,N/N85
91,31.4,N/N85
92,31.4,N/N85
93,31,N/N85
94,30.3,N/N85
95,30.1,N/N85
96,29.6,N/N85
97,29.3,N/N85
98,29.2,N/N85
99,28.8,N/N85
100,27.9,N/N85
101,24.5,N/N85
102,22.3,N/N85
103,21.9,N/N85
104,19.8,N/N85
105,19.3,N/N85
106,17.9,N/N85
107,49.7,lopro
108,49.3,lopro
109,48.6,lopro
110,48.3,lopro
111,48,lopro
112,47.7,lopro
113,47.5,lopro
114,47.2,lopro
115,47.1,lopro
116,47,lopro
117,47,lopro
118,47,lopro
119,46.9,lopro
120,46.9,lopro
121,46.3,lopro
122,45.9,lopro
123,45.9,lopro
124,44.5,lopro
125,44.1,lopro
126,44,lopro
127,43.6,lopro
128,43.3,lopro
129,42.1,lopro
130,42,lopro
131,42,lopro
132,41.9,lopro
133,41.9,lopro
134,41.6,lopro
135,40.5,lopro
136,40.1,lopro
137,39.2,lopro
138,38.9,lopro
139,37.4,lopro
140,37.3,lopro
141,36.7,lopro
142,36.4,lopro
143,36.2,lopro
144,35.8,lopro
145,35.7,lopro
146,35.4,lopro
147,35.3,lopro
148,35,lopro
149,35,lopro
150,34.8,lopro
151,34.7,lopro
152,33.5,lopro
153,32.8,lopro
154,31.5,lopro
155,30.8,lopro
156,30.6,lopro
157,29.9,lopro
158,29.2,lopro
159,28,lopro
160,26.3,lopro
161,24.7,lopro
162,23.4,lopro
163,51.9,N/R50
164,51.7,N/R50
165,51.4,N/R50
166,51.3,N/R50
167,50.9,N/R50
168,50.5,N/R50
169,50.5,N/R50
170,50.2,N/R50
171,50,N/R50
172,49.4,N/R50
173,49.2,N/R50
174,49.2,N/R50
175,49.1,N/R50
176,49.1,N/R50
177,49.1,N/R50
178,49.1,N/R50
179,48.7,N/R50
180,48.3,N/R50
181,48.1,N/R50
182,48,N/R50
183,47.8,N/R50
184,47.7,N/R50
185,47.6,N/R50
186,47.5,N/R50
187,47.3,N/R50
188,47.2,N/R50
189,46.9,N/R50
190,46.7,N/R50
191,46.5,N/R50
192,46.3,N/R50
193,45.6,N/R50
194,45.2,N/R50
195,45.1,N/R50
196,44.4,N/R50
197,43.9,N/R50
198,43.6,N/R50
199,42.9,N/R50
200,42.7,N/R50
201,42.6,N/R50
202,42.5,N/R50
203,42.4,N/R50
204,42,N/R50
205,41.5,N/R50
206,41.3,N/R50
207,40.9,N/R50
208,40.7,N/R50
209,40.4,N/R50
210,39.9,N/R50
211,39.4,N/R50
212,38.9,N/R50
213,38.2,N/R50
214,37.7,N/R50
215,37.6,N/R50
216,37.2,N/R50
217,35.4,N/R50
218,35.4,N/R50
219,35.2,N/R50
220,34.3,N/R50
221,32.7,N/R50
222,32.5,N/R50
223,31.8,N/R50
224,31.1,N/R50
225,30.9,N/R50
226,29.8,N/R50
227,26.8,N/R50
228,25.7,N/R50
229,25.1,N/R50
230,23.5,N/R50
231,18.6,N/R50
232,42.4,N/R50
233,48.1,N/R50
234,50.7,R/R50
235,50.6,R/R50
236,50.5,R/R50
237,50.3,R/R50
238,50.1,R/R50
239,50.1,R/R50
240,50,R/R50
241,50,R/R50
242,49.8,R/R50
243,49.7,R/R50
244,49.6,R/R50
245,49,R/R50
246,48.9,R/R50
247,48.5,R/R50
248,48.3,R/R50
249,48.3,R/R50
250,48.1,R/R50
251,47.7,R/R50
252,47,R/R50
253,46.8,R/R50
254,46.8,R/R50
255,46.8,R/R50
256,46.2,R/R50
257,46.2,R/R50
258,45.1,R/R50
259,45,R/R50
260,45,R/R50
261,44.3,R/R50
262,43.6,R/R50
263,43.1,R/R50
264,42.3,R/R50
265,42.9,R/R50
266,42.7,R/R50
267,42.4,R/R50
268,42,R/R50
269,41.8,R/R50
270,41.6,R/R50
271,40.6,R/R50
272,40.4,R/R50
273,39.9,R/R50
274,39.5,R/R50
275,39.2,R/R50
276,39,R/R50
277,38.5,R/R50
278,38.2,R/R50
279,38,R/R50
280,36.2,R/R50
281,36.3,R/R50
282,35.8,R/R50
283,34,R/R50
284,33.4,R/R50
285,32.2,R/R50
286,30.6,R/R50
287,27.5,R/R50
288,26.3,R/R50
289,24.2,R/R50
290,54.6,N/R40
291,54,N/R40
292,53.8,N/R40
293,53.3,N/R40
294,52.9,N/R40
295,52.7,N/R40
296,52.5,N/R40
297,52.4,N/R40
298,52,N/R40
299,51.8,N/R40
300,51.3,N/R40
301,51.3,N/R40
302,51,N/R40
303,50.8,N/R40
304,50.3,N/R40
305,50.1,N/R40
306,49.8,N/R40
307,48.7,N/R40
308,48.3,N/R40
309,48.1,N/R40
310,47.6,N/R40
311,47.6,N/R40
312,47.6,N/R40
313,47.5,N/R40
314,47.5,N/R40
315,47.5,N/R40
316,50.5,N/R40
317,47.5,N/R40
318,46.4,N/R40
319,45.3,N/R40
320,45.7,N/R40
321,44.2,N/R40
322,43.8,N/R40
323,43.8,N/R40
324,43.7,N/R40
325,43.6,N/R40
326,43.6,N/R40
327,43.3,N/R40
328,43.2,N/R40
329,43.1,N/R40
330,42.7,N/R40
331,42.7,N/R40
332,42.5,N/R40
333,42.3,N/R40
334,42.2,N/R40
335,42.2,N/R40
336,41.6,N/R40
337,40.8,N/R40
338,40.3,N/R40
339,40,N/R40
340,38.9,N/R40
341,37.2,N/R40
342,36.7,N/R40
343,36.6,N/R40
344,36.1,N/R40
345,33.9,N/R40
346,31,N/R40
347,29.4,N/R40
348,19.6,N/R40
349,47.6,N/R40
