"","Rainfall","Treatment","Type"
"1",1202.6,"Unseeded","Cumulonimbus"
"2",830.1,"Unseeded","Cumulonimbus"
"3",372.4,"Unseeded","Cumulonimbus"
"4",345.5,"Unseeded","Cumulonimbus"
"5",321.2,"Unseeded","Cumulonimbus"
"6",244.3,"Unseeded","Cumulonimbus"
"7",163,"Unseeded","Cumulonimbus"
"8",147.8,"Unseeded","Cumulonimbus"
"9",95,"Unseeded","Cumulonimbus"
"10",87,"Unseeded","Cumulonimbus"
"11",81.2,"Unseeded","Cumulonimbus"
"12",68.5,"Unseeded","Cumulonimbus"
"13",47.3,"Unseeded","Cumulonimbus"
"14",41.1,"Unseeded","Nimbostratus"
"15",36.6,"Unseeded","Nimbostratus"
"16",29,"Unseeded","Nimbostratus"
"17",28.6,"Unseeded","Nimbostratus"
"18",26.3,"Unseeded","Nimbostratus"
"19",26.1,"Unseeded","Nimbostratus"
"20",24.4,"Unseeded","Nimbostratus"
"21",21.7,"Unseeded","Nimbostratus"
"22",17.3,"Unseeded","Nimbostratus"
"23",11.5,"Unseeded","Nimbostratus"
"24",4.9,"Unseeded","Nimbostratus"
"25",4.9,"Unseeded","Nimbostratus"
"26",1,"Unseeded","Nimbostratus"
"27",2745.6,"Seeded","Cumulonimbus"
"28",1697.8,"Seeded","Cumulonimbus"
"29",1656,"Seeded","Cumulonimbus"
"30",978,"Seeded","Cumulonimbus"
"31",703.4,"Seeded","Cumulonimbus"
"32",489.1,"Seeded","Cumulonimbus"
"33",430,"Seeded","Cumulonimbus"
"34",334.1,"Seeded","Cumulonimbus"
"35",302.8,"Seeded","Cumulonimbus"
"36",274.7,"Seeded","Cumulonimbus"
"37",274.7,"Seeded","Cumulonimbus"
"38",255,"Seeded","Cumulonimbus"
"39",242.5,"Seeded","Cumulonimbus"
"40",200.7,"Seeded","Cumulonimbus"
"41",198.6,"Seeded","Cumulonimbus"
"42",129.6,"Seeded","Cumulonimbus"
"43",119,"Seeded","Cumulonimbus"
"44",118.3,"Seeded","Cumulonimbus"
"45",115.3,"Seeded","Nimbostratus"
"46",92.4,"Seeded","Nimbostratus"
"47",40.6,"Seeded","Nimbostratus"
"48",32.7,"Seeded","Nimbostratus"
"49",31.4,"Seeded","Nimbostratus"
"50",17.5,"Seeded","Nimbostratus"
"51",7.7,"Seeded","Nimbostratus"
"52",4.1,"Seeded","Nimbostratus"
"53",873.66758000816,"Seeded","Nimbostratus"
"54",763.909785716177,"Seeded","Nimbostratus"
"55",791.027509649042,"Seeded","Nimbostratus"
"56",694.154308765187,"Seeded","Nimbostratus"
"57",810.537066893033,"Seeded","Nimbostratus"
"58",699.366645781076,"Seeded","Nimbostratus"
"59",607.943449530426,"Seeded","Nimbostratus"
"60",762.799296568413,"Seeded","Nimbostratus"
"61",944.585121773144,"Seeded","Nimbostratus"
"62",830.091433957306,"Seeded","Nimbostratus"
"63",105.826266949731,"Unseeded","Cumulonimbus"
"64",101.794278615466,"Unseeded","Cumulonimbus"
"65",96.9572141084189,"Unseeded","Cumulonimbus"
"66",98.9887957244486,"Unseeded","Cumulonimbus"
"67",98.6337594659404,"Unseeded","Cumulonimbus"
"68",97.6565011010896,"Unseeded","Nimbostratus"
"69",103.520836419649,"Unseeded","Nimbostratus"
"70",94.0131824881729,"Unseeded","Nimbostratus"
"71",104.331830660564,"Unseeded","Nimbostratus"
"72",104.320762431129,"Unseeded","Nimbostratus"
