"","state","year","fte","kfc","roys","wendys","co_owned"
"1","New Jersey",1991,15,0,0,0,0
"2","New Jersey",1991,15,0,0,0,0
"3","New Jersey",1991,24,0,1,0,0
"4","New Jersey",1991,19.25,0,1,0,1
"5","New Jersey",1991,21.5,0,0,0,0
"6","New Jersey",1991,9.5,1,0,0,0
"7","New Jersey",1991,44,0,0,1,0
"8","New Jersey",1991,NA,0,0,0,0
"9","New Jersey",1991,21,0,0,0,0
"10","New Jersey",1991,28,0,0,1,0
"11","New Jersey",1991,10,0,0,1,0
"12","New Jersey",1991,20.5,0,0,0,0
"13","New Jersey",1991,25.5,0,1,0,1
"14","New Jersey",1991,19,0,0,1,0
"15","New Jersey",1991,16.5,0,0,0,0
"16","New Jersey",1991,17,0,0,0,1
"17","New Jersey",1991,27.5,0,0,0,1
"18","New Jersey",1991,5,0,1,0,1
"19","New Jersey",1991,16,1,0,0,0
"20","New Jersey",1991,41.5,0,0,0,0
"21","New Jersey",1991,13,1,0,0,1
"22","New Jersey",1991,10,1,0,0,0
"23","New Jersey",1991,15,1,0,0,0
"24","New Jersey",1991,26,0,1,0,0
"25","New Jersey",1991,18,0,0,1,0
"26","New Jersey",1991,35,0,1,0,0
"27","New Jersey",1991,21,0,1,0,1
"28","New Jersey",1991,34.5,0,0,1,0
"29","New Jersey",1991,18.25,0,0,1,0
"30","New Jersey",1991,24.5,0,0,1,0
"31","New Jersey",1991,20,0,0,0,0
"32","New Jersey",1991,16,0,0,0,1
"33","New Jersey",1991,17.5,1,0,0,0
"34","New Jersey",1991,20.5,0,0,1,0
"35","New Jersey",1991,20,0,0,1,0
"36","New Jersey",1991,12.25,1,0,0,1
"37","New Jersey",1991,33,0,1,0,0
"38","New Jersey",1991,31.5,0,1,0,0
"39","New Jersey",1991,NA,0,0,1,0
"40","New Jersey",1991,18,0,0,1,0
"41","New Jersey",1991,28,0,0,1,0
"42","New Jersey",1991,16.5,0,0,0,0
"43","New Jersey",1991,14.75,0,0,0,0
"44","New Jersey",1991,23.5,0,0,0,0
"45","New Jersey",1991,10,0,0,0,0
"46","New Jersey",1991,46.5,0,0,0,0
"47","New Jersey",1991,15.5,1,0,0,0
"48","New Jersey",1991,24.5,0,1,0,1
"49","New Jersey",1991,24,0,1,0,1
"50","New Jersey",1991,23,0,1,0,1
"51","New Jersey",1991,28,0,0,1,0
"52","New Jersey",1991,32.5,0,0,0,1
"53","New Jersey",1991,23,0,0,0,1
"54","New Jersey",1991,17,0,1,0,0
"55","New Jersey",1991,30,0,1,0,1
"56","New Jersey",1991,21.5,0,0,1,1
"57","New Jersey",1991,32,0,0,0,0
"58","New Jersey",1991,8,0,0,0,0
"59","New Jersey",1991,35.5,0,1,0,1
"60","New Jersey",1991,31.5,0,1,0,0
"61","New Jersey",1991,33,0,1,0,1
"62","New Jersey",1991,22,0,1,0,0
"63","New Jersey",1991,23,0,0,0,0
"64","New Jersey",1991,23,0,0,0,1
"65","New Jersey",1991,8.5,1,0,0,1
"66","New Jersey",1991,12.5,1,0,0,1
"67","New Jersey",1991,9.5,1,0,0,1
"68","New Jersey",1991,13,1,0,0,1
"69","New Jersey",1991,17,0,0,0,1
"70","New Jersey",1991,9,1,0,0,1
"71","New Jersey",1991,19,1,0,0,1
"72","New Jersey",1991,11.5,1,0,0,0
"73","New Jersey",1991,13,1,0,0,0
"74","New Jersey",1991,48,0,1,0,0
"75","New Jersey",1991,45.5,0,1,0,1
"76","New Jersey",1991,15,0,0,1,0
"77","New Jersey",1991,18,0,0,0,0
"78","New Jersey",1991,21,0,1,0,1
"79","New Jersey",1991,20.5,0,0,1,0
"80","New Jersey",1991,20.5,0,0,1,0
"81","New Jersey",1991,17.5,0,0,1,0
"82","New Jersey",1991,27.5,0,0,0,0
"83","New Jersey",1991,24,0,0,0,1
"84","New Jersey",1991,34,0,0,0,0
"85","New Jersey",1991,18,0,0,0,1
"86","New Jersey",1991,24,0,0,0,0
"87","New Jersey",1991,NA,0,1,0,1
"88","New Jersey",1991,33.5,0,0,1,1
"89","New Jersey",1991,12,0,0,1,1
"90","New Jersey",1991,35,0,0,0,0
"91","New Jersey",1991,35,0,0,0,0
"92","New Jersey",1991,16,0,0,0,0
"93","New Jersey",1991,15.5,1,0,0,0
"94","New Jersey",1991,19,0,1,0,0
"95","New Jersey",1991,24,0,1,0,0
"96","New Jersey",1991,NA,0,0,1,0
"97","New Jersey",1991,36,0,0,0,0
"98","New Jersey",1991,29,0,0,0,0
"99","New Jersey",1991,29,0,0,0,0
"100","New Jersey",1991,21.25,0,0,0,0
"101","New Jersey",1991,15.5,1,0,0,0
"102","New Jersey",1991,19.5,0,1,0,0
"103","New Jersey",1991,21,0,1,0,0
"104","New Jersey",1991,14,0,1,0,0
"105","New Jersey",1991,30.5,0,1,0,0
"106","New Jersey",1991,23.5,0,0,0,0
"107","New Jersey",1991,14,1,0,0,0
"108","New Jersey",1991,14.5,0,1,0,0
"109","New Jersey",1991,15.5,0,0,0,0
"110","New Jersey",1991,26.5,0,0,0,0
"111","New Jersey",1991,8,1,0,0,0
"112","New Jersey",1991,5.5,1,0,0,0
"113","New Jersey",1991,23.25,0,1,0,0
"114","New Jersey",1991,15.5,0,1,0,1
"115","New Jersey",1991,32.25,0,0,1,0
"116","New Jersey",1991,30,0,0,0,0
"117","New Jersey",1991,NA,0,0,0,1
"118","New Jersey",1991,30.5,0,0,0,0
"119","New Jersey",1991,14,0,0,0,0
"120","New Jersey",1991,27,0,0,0,0
"121","New Jersey",1991,18.5,0,0,0,0
"122","New Jersey",1991,38,0,0,0,0
"123","New Jersey",1991,16.5,0,0,0,0
"124","New Jersey",1991,50,0,0,0,0
