"","id","year","company","satisfaction"
"1",1,2012,"Bridgewater",67
"2",2,2013,"Bridgewater",69
"3",3,2014,"Bridgewater",78
"4",4,2016,"Bridgewater",60
"5",5,2012,"Bridgewater",79
"6",6,2013,"Bridgewater",72
"7",7,2014,"Bridgewater",64
"8",8,2016,"Bridgewater",59
"9",9,2012,"Bridgewater",76
"10",10,2013,"Bridgewater",72
"11",11,2014,"Bridgewater",72
"12",12,2016,"Bridgewater",59
"13",13,2012,"Bridgewater",79
"14",14,2013,"Bridgewater",72
"15",15,2014,"Bridgewater",60
"16",16,2016,"Bridgewater",59
"17",17,2012,"Bridgewater",65
"18",18,2013,"Bridgewater",69
"19",19,2014,"Bridgewater",65
"20",20,2016,"Bridgewater",59
"21",21,2012,"Bridgewater",62
"22",22,2013,"Bridgewater",74
"23",23,2014,"Bridgewater",71
"24",24,2016,"Bridgewater",63
"25",25,2012,"Bridgewater",72
"26",26,2013,"Bridgewater",69
"27",27,2014,"Bridgewater",74
"28",28,2016,"Bridgewater",62
"29",29,2012,"Bridgewater",73
"30",30,2013,"Bridgewater",73
"31",31,2014,"Bridgewater",70
"32",32,2016,"Bridgewater",59
"33",33,2012,"Bridgewater",67
"34",34,2013,"Bridgewater",69
"35",35,2014,"Bridgewater",64
"36",36,2016,"Bridgewater",62
"37",37,2012,"Bridgewater",64
"38",38,2013,"Bridgewater",68
"39",39,2014,"Bridgewater",68
"40",40,2016,"Bridgewater",60
"41",41,2012,"Bridgewater",71
"42",42,2013,"Bridgewater",70
"43",43,2014,"Bridgewater",70
"44",44,2016,"Bridgewater",60
"45",45,2012,"Bridgewater",78
"46",46,2013,"Bridgewater",62
"47",47,2014,"Bridgewater",73
"48",48,2016,"Bridgewater",60
"49",49,2012,"Bridgewater",72
"50",50,2013,"Bridgewater",67
"51",51,2014,"Bridgewater",68
"52",52,2016,"Bridgewater",58
"53",53,2012,"Bridgewater",72
"54",54,2013,"Bridgewater",72
"55",55,2014,"Bridgewater",70
"56",56,2016,"Bridgewater",64
"57",57,2012,"Bridgewater",68
"58",58,2013,"Bridgewater",58
"59",59,2014,"Bridgewater",75
"60",60,2016,"Bridgewater",59
"61",61,2012,"Bridgewater",75
"62",62,2013,"Bridgewater",69
"63",63,2014,"Bridgewater",64
"64",64,2016,"Bridgewater",60
"65",65,2012,"Bridgewater",70
"66",66,2013,"Bridgewater",72
"67",67,2014,"Bridgewater",68
"68",68,2016,"Bridgewater",60
"69",69,2012,"Bridgewater",72
"70",70,2013,"Bridgewater",75
"71",71,2014,"Bridgewater",72
"72",72,2016,"Bridgewater",62
"73",73,2012,"Bridgewater",75
"74",74,2013,"Bridgewater",73
"75",75,2014,"Bridgewater",71
"76",76,2016,"Bridgewater",63
"77",77,2012,"Bridgewater",67
"78",78,2013,"Bridgewater",81
"79",79,2014,"Bridgewater",78
"80",80,2016,"Bridgewater",58
"81",81,2012,"Bridgewater",66
"82",82,2013,"Bridgewater",71
"83",83,2014,"Bridgewater",69
"84",84,2016,"Bridgewater",58
"85",85,2012,"Bridgewater",70
"86",86,2013,"Bridgewater",66
"87",87,2014,"Bridgewater",62
"88",88,2016,"Bridgewater",62
"89",89,2012,"Bridgewater",67
"90",90,2013,"Bridgewater",73
"91",91,2014,"Bridgewater",62
"92",92,2016,"Bridgewater",61
"93",93,2012,"Bridgewater",72
"94",94,2013,"Bridgewater",71
"95",95,2014,"Bridgewater",67
"96",96,2016,"Bridgewater",58
"97",97,2012,"Bridgewater",71
"98",98,2013,"Bridgewater",65
"99",99,2014,"Bridgewater",68
"100",100,2016,"Bridgewater",64
"101",101,2012,"Bridgewater",67
"102",102,2013,"Bridgewater",71
"103",103,2014,"Bridgewater",70
"104",104,2016,"Bridgewater",60
"105",105,2012,"Bridgewater",77
"106",106,2013,"Bridgewater",72
"107",107,2014,"Bridgewater",70
"108",108,2016,"Bridgewater",56
"109",109,2012,"Bridgewater",76
"110",110,2013,"Bridgewater",63
"111",111,2014,"Bridgewater",74
"112",112,2016,"Bridgewater",57
"113",113,2012,"Bridgewater",74
"114",114,2013,"Bridgewater",69
"115",115,2014,"Bridgewater",62
"116",116,2016,"Bridgewater",57
"117",117,2012,"Bridgewater",67
"118",118,2013,"Bridgewater",63
"119",119,2014,"Bridgewater",73
"120",120,2016,"Bridgewater",57
"121",121,2012,"Bridgewater",74
"122",122,2013,"Bridgewater",74
"123",123,2014,"Bridgewater",72
"124",124,2016,"Bridgewater",60
"125",125,2012,"Bridgewater",69
"126",126,2013,"Bridgewater",73
"127",127,2014,"Bridgewater",68
"128",128,2016,"Bridgewater",59
"129",129,2012,"Bridgewater",75
"130",130,2013,"Bridgewater",65
"131",131,2014,"Bridgewater",64
"132",132,2016,"Bridgewater",59
"133",133,2012,"Bridgewater",71
"134",134,2013,"Bridgewater",73
"135",135,2014,"Bridgewater",68
"136",136,2016,"Bridgewater",61
"137",137,2012,"Bridgewater",69
"138",138,2013,"Bridgewater",70
"139",139,2014,"Bridgewater",70
"140",140,2016,"Bridgewater",59
"141",141,2012,"Bridgewater",65
"142",142,2013,"Bridgewater",70
"143",143,2014,"Bridgewater",72
"144",144,2016,"Bridgewater",59
"145",145,2012,"Bridgewater",65
"146",146,2013,"Bridgewater",76
"147",147,2014,"Bridgewater",68
"148",148,2016,"Bridgewater",60
"149",149,2012,"Bridgewater",69
"150",150,2013,"Bridgewater",76
"151",151,2014,"Bridgewater",70
"152",152,2016,"Bridgewater",59
"153",153,2012,"Bridgewater",71
"154",154,2013,"Bridgewater",68
"155",155,2014,"Bridgewater",70
"156",156,2016,"Bridgewater",57
"157",157,2012,"Bridgewater",80
"158",158,2013,"Bridgewater",73
"159",159,2014,"Bridgewater",64
"160",160,2016,"Bridgewater",58
"161",161,2012,"Bridgewater",81
"162",162,2013,"Bridgewater",77
"163",163,2014,"Bridgewater",69
"164",164,2016,"Bridgewater",59
"165",165,2012,"Bridgewater",68
"166",166,2013,"Bridgewater",66
"167",167,2014,"Bridgewater",67
"168",168,2016,"Bridgewater",60
"169",169,2012,"Bridgewater",71
"170",170,2013,"Bridgewater",71
"171",171,2014,"Bridgewater",76
"172",172,2016,"Bridgewater",58
"173",173,2012,"Bridgewater",78
"174",174,2013,"Bridgewater",68
"175",175,2014,"Bridgewater",66
"176",176,2016,"Bridgewater",57
"177",177,2012,"Bridgewater",67
"178",178,2013,"Bridgewater",73
"179",179,2014,"Bridgewater",76
"180",180,2016,"Bridgewater",59
"181",181,2012,"Bridgewater",70
"182",182,2013,"Bridgewater",66
"183",183,2014,"Bridgewater",66
"184",184,2016,"Bridgewater",58
"185",185,2012,"Bridgewater",80
"186",186,2013,"Bridgewater",70
"187",187,2014,"Bridgewater",71
"188",188,2016,"Bridgewater",59
"189",189,2012,"Bridgewater",63
"190",190,2013,"Bridgewater",69
"191",191,2014,"Bridgewater",72
"192",192,2016,"Bridgewater",58
"193",193,2012,"Bridgewater",66
"194",194,2013,"Bridgewater",67
"195",195,2014,"Bridgewater",77
"196",196,2016,"Bridgewater",60
"197",197,2012,"Bridgewater",80
"198",198,2013,"Bridgewater",69
"199",199,2014,"Bridgewater",63
"200",200,2016,"Bridgewater",61
"201",201,2012,"Bridgewater",68
"202",202,2013,"Bridgewater",67
"203",203,2014,"Bridgewater",68
"204",204,2016,"Bridgewater",63
"205",205,2012,"Bridgewater",70
"206",206,2013,"Bridgewater",75
"207",207,2014,"Bridgewater",73
"208",208,2016,"Bridgewater",57
"209",209,2012,"Bridgewater",67
"210",210,2013,"Bridgewater",68
"211",211,2014,"Bridgewater",70
"212",212,2016,"Bridgewater",65
"213",213,2012,"Bridgewater",78
"214",214,2013,"Bridgewater",69
