"","time3","score3","interv3"
"1",1,48.2886335253716,"0"
"2",2,50.3451864579692,"0"
"3",3,52.2454293677583,"0"
"4",4,54.2565436949953,"0"
"5",5,55.7659226544201,"0"
"6",6,53.7252389471978,"0"
"7",7,54.9150362554938,"0"
"8",8,56.8161769043654,"0"
"9",9,58.8325137319043,"0"
"10",10,57.6443695444614,"0"
"11",11,61.3034839620814,"1"
"12",12,65.788326151669,"1"
"13",13,70.4280508328229,"1"
"14",14,76.0484211808071,"1"
"15",15,78.9852393297479,"1"
"16",16,86.4325513327494,"1"
"17",17,91.6809753589332,"1"
"18",18,95.4429334383458,"1"
"19",19,99.6501059997827,"1"
"20",20,105.209527368657,"1"
